x1,x2,Class
1.249057537,0.9525985226,-1
3.144345495,-0.5900227707,-1
0.3706686466,2.644565789,1
2.249370904,1.06695515,1
1.741782396,1.990566132,1
0.8718144116,-1.480354482,-1
1.590243894,-1.246311455,-1
0.278658808,2.785131755,1
3.022624539,1.016673837,1
1.39421292,-0.6559943339,-1
2.823062994,0.3347307635,1
3.806808067,2.574496905,1
0.2271632844,-0.4715323323,-1
1.983677546,-1.306705729,-1
4.069748169,0.3117158811,1
2.213989459,2.739229083,1
1.702524043,2.938028917,1
4.015682406,-1.796684729,-1
0.002550515871,1.375198738,-1
3.736921061,1.638378759,1
1.236304518,1.912760092,1
2.868950498,-0.9072916805,-1
4.607997675,1.026400348,1
2.079086127,-0.4348710981,-1
3.499965863,2.484897303,1
2.294799592,2.536915358,1
0.2732729256,-0.9529869137,-1
2.111341562,-0.7395947539,-1
0.6027858304,3.097783815,1
3.649490353,2.600114966,1
2.297712157,-0.1525301449,-1
1.206409247,-1.691526678,-1
4.230650049,0.140949664,1
3.680626056,2.764405377,1
4.856477474,0.283758743,1
4.094127109,1.651502426,1
0.2657228442,-0.08793340895,-1
1.966718412,0.6133503143,-1
4.530857178,2.200856879,1
1.663968839,-0.08969962225,-1
2.934843019,-0.901608071,-1
3.551497191,2.699079729,1
2.19236334,2.768651987,1
1.561829524,-2.053729024,-1
1.871103285,-0.2069890207,-1
1.712440489,0.469969134,-1
2.456358123,1.884425667,1
0.9582640625,-1.925142379,-1
4.368105315,-2.060426798,-1
3.744550424,-2.052431614,-1
3.454977981,1.235031072,1
2.364527359,1.897496706,1
3.175611086,2.694873835,1
3.240291936,-1.790264578,-1
2.768789172,-1.944602389,-1
4.134237316,0.4257861848,1
2.370865398,2.215658654,1
3.857663703,-1.147849435,-1
4.101225271,-1.895170739,-1
2.017110921,-1.073397058,-1
1.125435946,-0.2593418368,-1
3.001848303,1.940355117,1
0.8500153779,-1.033884952,-1
3.612745324,-1.633116286,-1
4.76222561,0.1015404772,1
0.2816911282,-1.625498279,-1
3.304076283,1.428897153,1
0.3828116143,-0.2055920328,-1
0.1343847582,2.666381416,1
1.459188605,-0.6201611296,-1
2.25111592,-0.4638426658,-1
1.457467129,0.6689039547,-1
3.508168207,0.4613707577,1
4.215505186,1.343762328,1
3.317971736,-0.1346178767,1
4.232468972,-1.230604054,-1
0.35795576,0.4519869761,-1
0.2714127717,0.5606824872,-1
1.313057749,-0.4886481152,-1
4.31711904,2.678402875,1
0.4557902357,2.863387141,1
2.695519392,-1.538746917,-1
4.135483129,-1.59535719,-1
0.3035225564,2.93550442,1
2.355469414,2.076196173,1
0.7829183232,1.104266202,-1
2.44741617,-1.344475188,-1
1.3570664,-1.292777117,-1
3.506771456,-1.924175886,-1
2.234745419,-0.6723975359,-1
0.1655222235,-1.237498647,-1
1.411078877,0.2228282858,-1
3.592358866,0.3360766165,1
4.353060343,2.572672255,1
0.167243166,-1.249022962,-1
4.835340883,1.349106522,1
4.896968316,3.028966624,1
1.774220725,1.107131477,1
1.767689718,-0.9370647267,-1
1.003128858,3.134261518,1
4.338604154,-0.379925039,1
1.157860597,1.620707886,1
1.115066375,0.832900543,-1
4.40122473,-0.2677421155,1
4.762239146,1.720290337,1
0.2932240765,-0.5564641868,-1
1.756180187,0.523534202,-1
3.239206165,1.768604158,1
0.3917320176,0.9698336857,-1
4.494596016,2.11053836,1
2.695006844,-1.588545629,-1
0.7827455976,0.3850971113,-1
4.42916156,-0.3276869681,1
4.229998358,1.035500139,1
4.364599756,-0.9325519547,-1
4.076464514,1.198003274,1
2.87653006,2.893051503,1
4.851703766,-1.595606774,-1
2.589657363,2.172843375,1
2.175781119,2.163928366,1
2.26304102,-1.536720338,-1
2.198634949,0.9414091351,1
2.930832454,2.501666429,1
1.678940346,2.684175995,1
3.806919042,-1.473047165,-1
2.067942119,1.693846832,1
4.263604489,-1.345701296,-1
2.311100875,0.7787470313,1
3.00328358,-1.165412333,-1
1.441683353,-1.973354056,-1
2.31903361,2.82616418,1
1.774005925,1.501258014,1
0.1640429916,2.985034927,1
